ProjectName;CampaignName;CampaignId;CallCenter;Language;ClientName
project1;campaign1;284800;sitio1;German;Client1
project1;campaign2;471760;sitio2;German;Client1
project1;campaign3;286880;sitio1;German;Client1
project1;campaign4;472800;sitio2;German;Client1
project1;campaign5;471840;sitio2;German;Client1
project1;campaign6;284960;sitio1;German;Client1
project1;campaign7;284000;sitio1;Spanish;Client1
project1;campaign8;285280;sitio1;Spanish;Client1
project1;campaign9;282560;sitio1;French;Client1
project1;campaign10;284080;sitio1;French;Client1
project1;campaign11;285600;sitio1;French;Client1
project1;campaign12;377520;sitio1;French;Client1
project1;campaign13;285760;sitio1;Italian;Client1
project1;campaign14;285920;sitio1;Dutch;Client1
project1;campaign15;467120;sitio2;Danish;Client1
project1;campaign16;286160;sitio1;Danish;Client1
project1;campaign17;284160;sitio1;Portuguese;Client1
project1;campaign18;286400;sitio1;Portuguese;Client1
project1;campaign19;286720;sitio1;English;Client1
project1;campaign20;472160;sitio1;English;Client1
project1;campaign21;470560;sitio1;English;Client1
project2;campaign22;413920;sitio1;Portuguese;Client2
project2;campaign23;414000;sitio1;German;Client2
project2;campaign24;414080;sitio1;English;Client2
project2;campaign25;414720;sitio1;French;Client2
project2;campaign26;449840;sitio1;Italian;Client2
project2;campaign27;480160;sitio1;English;Client2
project2;campaign28;448000;sitio3;Polish;Client2
project2;campaign29;414160;sitio1;Spanish;Client2
project2;campaign30;474320;sitio1;Spanish;Client2
project2;campaign31;458640;sitio1;Turkish;Client2
project3;campaign32;401440;sitio1;German;Client3
project3;campaign33;401360;sitio1;English;Client3
project3;campaign34;409280;sitio1;English;Client3
project3;campaign35;401600;sitio1;Spanish;Client3
project3;campaign36;409440;sitio1;Spanish;Client3
project3;campaign37;401280;sitio1;French;Client3
project3;campaign38;409200;sitio1;French;Client3
project3;campaign39;401520;sitio1;Italian;Client3
project3;campaign40;409040;sitio1;German;Client3
project3;campaign41;409520;sitio1;Italian;Client3
project3;campaign42;409120;sitio1;Dutch;Client3
project3;campaign43;401200;sitio1;Dutch;Client3
project3;campaign44;409600;sitio1;Polish;Client3
